trade_id,source_type,symbol,timeframe,action,setup_type,session,market_regime,news_risk,spread_pips,atr_pips,rr_ratio,rule_confidence,tf_alignment,liquidity_sweep,fvg_present,order_block_present,candlestick_pattern,candlestick_bias,candlestick_strength,dxy_bias,source_knowledge,entry_time,exit_time,entry_price,stop_loss,take_profit_1,take_profit_2,exit_price,result,pnl_r,notes
SYNTHETIC_MT5_HISTORY_00001,synthetic_mt5_history,XAUUSD,5m,BUY,support_resistance,london,bearish,medium,2.62,9.39,1.12,89,1,0,0,0,tweezer_bottom,bullish,80,neutral,mt5_history,2026-01-01 09:17:00,2026-01-01 10:47:00,2311.77,2310.84,2312.28,2312.8,2312.8,win,1.12,"Synthetic ML row: support_resistance | tweezer_bottom | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00012,synthetic_mt5_history,EURUSD,30m,SELL,trend_follow,london,high_volatility,low,1.32,8.91,1.49,81,1,1,1,1,inverted_hammer,bullish,38,usd_bearish,mt5_history,2026-01-01 12:20:00,2026-01-01 15:20:00,1.09818,1.09899,1.09758,1.09698,1.09623,win,2.42,"Synthetic ML row: trend_follow | inverted_hammer | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00013,synthetic_mt5_history,GBPUSD,5m,SELL,range_rejection,new_york,sideways,low,2.13,8.83,1.92,94,0,0,1,0,harami_bullish,bullish,95,neutral,mt5_history,2026-01-01 12:16:00,2026-01-01 12:46:00,1.25164,1.25234,1.25098,1.25031,1.25232,loss,-0.98,"Synthetic ML row: range_rejection | harami_bullish | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00014,synthetic_mt5_history,GBPUSD,1h,BUY,trend_follow,overlap,bearish,low,1.9,11.51,3.13,49,1,0,0,0,harami_bullish,bullish,60,usd_bearish,mt5_history,2026-01-01 12:59:00,2026-01-01 13:29:00,1.24469,1.24399,1.24578,1.24688,1.24511,win,0.6,"Synthetic ML row: trend_follow | harami_bullish | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00015,synthetic_mt5_history,GBPUSD,5m,BUY,reversal,asia,high_volatility,low,0.88,22.57,4.0,92,1,1,0,0,bearish_engulfing,bearish,44,usd_bullish,mt5_history,2026-01-01 12:53:00,2026-01-01 14:53:00,1.25988,1.25806,1.26353,1.26718,1.26545,win,3.05,"Synthetic ML row: reversal | bearish_engulfing | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00016,synthetic_mt5_history,EURUSD,15m,BUY,support_resistance,london,bullish,low,1.21,5.76,1.84,75,1,1,1,0,marubozu_bearish,bearish,37,usd_bullish,mt5_history,2026-01-01 13:28:00,2026-01-01 14:13:00,1.1034,1.10301,1.10376,1.10412,1.10292,loss,-1.24,"Synthetic ML row: support_resistance | marubozu_bearish | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00017,synthetic_mt5_history,GBPUSD,15m,BUY,reversal,london,high_volatility,low,1.65,12.39,3.71,89,0,0,1,0,tweezer_top,bearish,36,usd_bullish,mt5_history,2026-01-01 13:24:00,2026-01-01 16:24:00,1.2511,1.25028,1.25261,1.25412,1.25028,loss,-1.0,"Synthetic ML row: reversal | tweezer_top | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00018,synthetic_mt5_history,BTCUSD,5m,BUY,breakout,overlap,sideways,low,22.32,515.77,3.61,49,0,1,0,0,harami_bullish,bullish,73,neutral,mt5_history,2026-01-01 13:43:00,2026-01-01 16:43:00,66816.67,66430.64,67513.43,68210.2,67191.11,win,0.97,"Synthetic ML row: breakout | harami_bullish | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00019,synthetic_mt5_history,XAUUSD,30m,SELL,reversal,new_york,low_volatility,low,2.35,27.46,1.01,90,1,1,0,1,hanging_man,bearish,88,usd_bearish,mt5_history,2026-01-01 14:04:00,2026-01-01 15:34:00,2350.94,2354.75,2349.02,2347.1,2346.41,win,1.19,"Synthetic ML row: reversal | hanging_man | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00020,synthetic_mt5_history,BTCUSD,5m,BUY,fvg_retest,asia,low_volatility,low,36.86,967.21,1.75,54,0,1,1,0,three_white_soldiers,bullish,82,usd_bullish,mt5_history,2026-01-01 14:12:00,2026-01-01 14:57:00,66015.64,65155.5,66768.27,67520.89,64957.67,loss,-1.23,"Synthetic ML row: fvg_retest | three_white_soldiers | asia | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00021,synthetic_mt5_history,GBPUSD,30m,BUY,liquidity_sweep,london,bullish,low,1.96,7.09,3.42,77,1,1,1,0,hammer,bullish,62,neutral,mt5_history,2026-01-01 14:29:00,2026-01-01 14:59:00,1.30384,1.30325,1.30484,1.30585,1.30386,breakeven,0.04,"Synthetic ML row: liquidity_sweep | hammer | london | low news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00022,synthetic_mt5_history,USDJPY,5m,SELL,breakout,new_york,sideways,high,1.61,7.95,3.58,87,1,0,0,0,tweezer_bottom,bullish,42,usd_bullish,mt5_history,2026-01-01 14:47:00,2026-01-01 15:32:00,154.175,154.257,154.028,153.882,154.098,win,0.94,"Synthetic ML row: breakout | tweezer_bottom | new_york | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00023,synthetic_mt5_history,USDJPY,15m,SELL,order_block_retest,new_york,sideways,low,0.98,15.69,1.17,68,0,0,1,1,bearish_engulfing,bearish,25,usd_bullish,mt5_history,2026-01-01 15:09:00,2026-01-01 17:09:00,153.334,153.55,153.208,153.082,153.319,breakeven,0.07,"Synthetic ML row: order_block_retest | bearish_engulfing | new_york | low news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00024,synthetic_mt5_history,USDJPY,15m,BUY,liquidity_sweep,new_york,bullish,low,1.94,14.9,0.93,93,0,1,1,1,three_white_soldiers,bullish,62,usd_bearish,mt5_history,2026-01-01 15:00:00,2026-01-01 15:30:00,151.736,151.611,151.795,151.853,151.748,breakeven,0.09,"Synthetic ML row: liquidity_sweep | three_white_soldiers | new_york | low news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00025,synthetic_mt5_history,BTCUSD,30m,SELL,reversal,london,bearish,low,42.88,919.4,2.81,80,1,0,0,0,tweezer_top,bearish,37,usd_bullish,mt5_history,2026-01-01 15:22:00,2026-01-01 17:22:00,64991.12,66214.08,63272.84,61554.57,63890.44,win,0.9,"Synthetic ML row: reversal | tweezer_top | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00026,synthetic_mt5_history,XAUUSD,1h,BUY,breakout,new_york,sideways,medium,3.29,8.37,3.41,80,0,1,0,1,pin_bar_bullish,bullish,81,usd_bearish,mt5_history,2026-01-01 15:39:00,2026-01-01 15:54:00,2356.31,2355.32,2357.99,2359.67,2355.33,loss,-0.99,"Synthetic ML row: breakout | pin_bar_bullish | new_york | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00027,synthetic_mt5_history,BTCUSD,1h,BUY,order_block_retest,new_york,sideways,low,37.65,914.28,2.04,71,1,1,0,1,piercing_line,bullish,44,usd_bearish,mt5_history,2026-01-01 15:55:00,2026-01-01 16:40:00,64782.22,64165.46,65411.32,66040.41,65041.26,win,0.42,"Synthetic ML row: order_block_retest | piercing_line | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00028,synthetic_mt5_history,EURUSD,5m,SELL,fvg_retest,london,bullish,high,1.3,7.09,2.76,70,1,0,1,1,pin_bar_bullish,bullish,27,usd_bearish,mt5_history,2026-01-01 16:29:00,2026-01-01 17:14:00,1.07348,1.07441,1.07221,1.07094,1.07072,win,3.0,"Synthetic ML row: fvg_retest | pin_bar_bullish | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00029,synthetic_mt5_history,XAUUSD,15m,SELL,trend_follow,london,bullish,low,2.42,27.44,1.89,70,0,0,0,1,inside_bar,neutral,90,neutral,mt5_history,2026-01-01 16:27:00,2026-01-01 17:12:00,2397.11,2399.99,2394.38,2391.66,2391.08,win,2.09,"Synthetic ML row: trend_follow | inside_bar | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00030,synthetic_mt5_history,USDJPY,15m,BUY,trend_follow,london,bullish,low,1.9,19.57,1.83,79,1,0,1,0,pin_bar_bullish,bullish,43,usd_bullish,mt5_history,2026-01-01 16:56:00,2026-01-01 17:41:00,157.185,157.006,157.349,157.512,157.382,win,1.1,"Synthetic ML row: trend_follow | pin_bar_bullish | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00031,synthetic_mt5_history,BTCUSD,1h,BUY,reversal,asia,low_volatility,low,73.55,527.14,1.57,56,0,0,0,1,morning_star,bullish,28,usd_bearish,mt5_history,2026-01-01 16:49:00,2026-01-01 18:49:00,65980.94,65255.1,66550.73,67120.51,65088.16,loss,-1.23,"Synthetic ML row: reversal | morning_star | asia | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00032,synthetic_mt5_history,XAUUSD,15m,BUY,fvg_retest,new_york,sideways,low,1.65,23.56,2.86,58,0,0,1,1,bullish_engulfing,bullish,48,usd_bearish,mt5_history,2026-01-01 17:01:00,2026-01-01 17:16:00,2287.7,2286.24,2289.78,2291.86,2289.76,win,1.42,"Synthetic ML row: fvg_retest | bullish_engulfing | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00033,synthetic_mt5_history,BTCUSD,1h,SELL,range_rejection,asia,high_volatility,low,52.78,152.58,2.24,84,1,0,1,0,harami_bearish,bearish,60,usd_bullish,mt5_history,2026-01-01 17:22:00,2026-01-01 17:52:00,66803.26,66974.25,66611.74,66420.22,66644.23,win,0.93,"Synthetic ML row: range_rejection | harami_bearish | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00034,synthetic_mt5_history,USDJPY,5m,SELL,order_block_retest,london,bearish,low,1.92,11.64,2.97,89,0,1,1,1,pin_bar_bullish,bullish,81,usd_bullish,mt5_history,2026-01-01 17:43:00,2026-01-01 20:43:00,154.7,154.802,154.549,154.398,154.824,loss,-1.21,"Synthetic ML row: order_block_retest | pin_bar_bullish | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00035,synthetic_mt5_history,USDJPY,5m,SELL,breakout,asia,bullish,medium,1.47,8.49,1.59,88,1,0,1,1,harami_bearish,bearish,66,usd_bullish,mt5_history,2026-01-01 18:00:00,2026-01-01 21:00:00,153.431,153.498,153.377,153.323,153.327,win,1.53,"Synthetic ML row: breakout | harami_bearish | asia | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00036,synthetic_mt5_history,EURUSD,1h,BUY,reversal,asia,bullish,low,1.15,6.08,3.51,83,1,1,0,0,dark_cloud_cover,bearish,91,usd_bearish,mt5_history,2026-01-01 18:07:00,2026-01-01 22:07:00,1.10649,1.10575,1.10779,1.10909,1.10656,breakeven,0.09,"Synthetic ML row: reversal | dark_cloud_cover | asia | low news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00037,synthetic_mt5_history,EURUSD,15m,BUY,range_rejection,new_york,bullish,low,1.48,11.96,1.63,76,1,0,0,1,piercing_line,bullish,89,neutral,mt5_history,2026-01-01 18:25:00,2026-01-01 19:25:00,1.1123,1.11145,1.11299,1.11369,1.11279,win,0.58,"Synthetic ML row: range_rejection | piercing_line | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00038,synthetic_mt5_history,XAUUSD,30m,BUY,fvg_retest,new_york,bearish,low,3.88,13.95,3.64,49,1,0,1,0,evening_star,bearish,79,usd_bullish,mt5_history,2026-01-01 18:37:00,2026-01-01 19:37:00,2348.45,2346.68,2351.67,2354.89,2350.73,win,1.29,"Synthetic ML row: fvg_retest | evening_star | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00039,synthetic_mt5_history,USDJPY,1h,SELL,support_resistance,new_york,bullish,high,1.0,11.88,1.19,64,1,0,0,1,tweezer_top,bearish,62,usd_bearish,mt5_history,2026-01-01 19:02:00,2026-01-01 21:02:00,159.562,159.647,159.512,159.461,159.666,loss,-1.22,"Synthetic ML row: support_resistance | tweezer_top | new_york | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00040,synthetic_mt5_history,XAUUSD,15m,SELL,reversal,new_york,sideways,high,2.15,26.49,1.66,53,1,1,1,1,inverted_hammer,bullish,54,usd_bullish,mt5_history,2026-01-01 19:21:00,2026-01-01 21:21:00,2406.55,2408.53,2404.9,2403.25,2403.43,win,1.57,"Synthetic ML row: reversal | inverted_hammer | new_york | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00041,synthetic_mt5_history,EURUSD,1h,SELL,liquidity_sweep,london,sideways,high,1.64,9.86,3.56,63,1,1,1,0,inside_bar,neutral,69,neutral,mt5_history,2026-01-01 19:24:00,2026-01-01 23:24:00,1.08861,1.08987,1.08638,1.08415,1.08619,win,1.93,"Synthetic ML row: liquidity_sweep | inside_bar | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00042,synthetic_mt5_history,EURUSD,15m,BUY,liquidity_sweep,london,bullish,medium,1.02,14.49,0.84,57,0,1,1,0,marubozu_bearish,bearish,59,usd_bearish,mt5_history,2026-01-01 19:33:00,2026-01-01 20:03:00,1.1168,1.1149,1.11759,1.11839,1.11447,loss,-1.23,"Synthetic ML row: liquidity_sweep | marubozu_bearish | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00043,synthetic_mt5_history,EURUSD,5m,BUY,order_block_retest,overlap,bearish,medium,0.76,17.91,1.48,73,1,1,1,1,morning_star,bullish,74,neutral,mt5_history,2026-01-01 19:57:00,2026-01-01 23:57:00,1.09957,1.09758,1.10104,1.10251,1.10456,win,2.51,"Synthetic ML row: order_block_retest | morning_star | overlap | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00044,synthetic_mt5_history,EURUSD,5m,SELL,order_block_retest,overlap,bullish,medium,0.86,14.3,0.97,57,0,1,1,1,three_white_soldiers,bullish,42,usd_bullish,mt5_history,2026-01-01 20:18:00,2026-01-01 21:18:00,1.07681,1.07861,1.07594,1.07506,1.07155,win,2.92,"Synthetic ML row: order_block_retest | three_white_soldiers | overlap | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00045,synthetic_mt5_history,XAUUSD,5m,BUY,fvg_retest,overlap,bullish,low,3.7,23.58,3.22,92,1,0,1,1,tweezer_top,bearish,32,usd_bullish,mt5_history,2026-01-01 20:27:00,2026-01-01 23:27:00,2405.5,2403.45,2408.81,2412.12,2407.37,win,0.91,"Synthetic ML row: fvg_retest | tweezer_top | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00046,synthetic_mt5_history,EURUSD,15m,SELL,trend_follow,new_york,bullish,medium,1.33,6.34,2.09,65,1,0,0,0,tweezer_bottom,bullish,64,usd_bearish,mt5_history,2026-01-01 20:47:00,2026-01-01 22:17:00,1.0548,1.05567,1.05389,1.05298,1.05214,win,3.06,"Synthetic ML row: trend_follow | tweezer_bottom | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00047,synthetic_mt5_history,BTCUSD,15m,BUY,range_rejection,overlap,sideways,medium,41.64,262.04,2.45,69,1,1,0,1,inverted_hammer,bullish,92,usd_bearish,mt5_history,2026-01-01 21:11:00,2026-01-02 00:11:00,64760.31,64481.68,65101.63,65442.95,65314.78,win,1.99,"Synthetic ML row: range_rejection | inverted_hammer | overlap | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00048,synthetic_mt5_history,BTCUSD,15m,BUY,fvg_retest,asia,high_volatility,low,29.38,825.81,1.01,67,1,0,1,0,bullish_engulfing,bullish,67,usd_bearish,mt5_history,2026-01-01 21:11:00,2026-01-01 22:11:00,66900.82,66023.14,67344.04,67787.27,68629.83,win,1.97,"Synthetic ML row: fvg_retest | bullish_engulfing | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00049,synthetic_mt5_history,BTCUSD,30m,BUY,support_resistance,asia,bullish,low,30.2,596.59,2.55,83,0,0,1,0,harami_bearish,bearish,86,usd_bullish,mt5_history,2026-01-01 21:20:00,2026-01-02 01:20:00,63747.2,63029.41,64662.39,65577.57,65161.25,win,1.97,"Synthetic ML row: support_resistance | harami_bearish | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00050,synthetic_mt5_history,USDJPY,30m,BUY,liquidity_sweep,london,high_volatility,medium,1.2,21.49,0.81,79,0,1,0,1,evening_star,bearish,65,usd_bearish,mt5_history,2026-01-01 21:48:00,2026-01-02 01:48:00,152.686,152.433,152.789,152.891,152.56,loss,-0.5,"Synthetic ML row: liquidity_sweep | evening_star | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00051,synthetic_mt5_history,XAUUSD,15m,SELL,support_resistance,new_york,bullish,medium,3.78,15.9,1.82,89,1,1,1,0,tweezer_bottom,bullish,85,neutral,mt5_history,2026-01-01 21:45:00,2026-01-02 01:45:00,2407.44,2408.58,2406.41,2405.37,2407.42,breakeven,0.02,"Synthetic ML row: support_resistance | tweezer_bottom | new_york | medium news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00052,synthetic_mt5_history,XAUUSD,30m,BUY,trend_follow,asia,bearish,low,2.84,20.68,3.22,95,0,1,1,1,harami_bullish,bullish,31,neutral,mt5_history,2026-01-01 22:11:00,2026-01-02 01:11:00,2328.83,2326.93,2331.89,2334.95,2326.47,loss,-1.24,"Synthetic ML row: trend_follow | harami_bullish | asia | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00053,synthetic_mt5_history,USDJPY,30m,SELL,trend_follow,asia,sideways,medium,0.83,19.19,1.7,53,1,0,1,0,doji,neutral,61,neutral,mt5_history,2026-01-01 22:20:00,2026-01-01 23:05:00,159.366,159.57,159.192,159.019,159.143,win,1.09,"Synthetic ML row: trend_follow | doji | asia | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00054,synthetic_mt5_history,GBPUSD,5m,BUY,trend_follow,london,bearish,low,0.82,23.06,0.92,89,1,0,1,1,three_white_soldiers,bullish,31,usd_bullish,mt5_history,2026-01-01 22:43:00,2026-01-01 22:58:00,1.2391,1.23766,1.23977,1.24043,1.24355,win,3.08,"Synthetic ML row: trend_follow | three_white_soldiers | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00055,synthetic_mt5_history,USDJPY,15m,SELL,support_resistance,new_york,high_volatility,medium,1.29,7.43,1.4,63,0,0,0,0,marubozu_bullish,bullish,51,neutral,mt5_history,2026-01-01 22:57:00,2026-01-02 00:27:00,157.876,157.934,157.834,157.793,157.943,loss,-1.15,"Synthetic ML row: support_resistance | marubozu_bullish | new_york | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00056,synthetic_mt5_history,EURUSD,15m,BUY,reversal,asia,bearish,high,1.2,8.43,3.64,55,1,0,0,0,harami_bullish,bullish,77,neutral,mt5_history,2026-01-01 23:01:00,2026-01-01 23:46:00,1.0538,1.05303,1.0552,1.0566,1.05412,win,0.41,"Synthetic ML row: reversal | harami_bullish | asia | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00057,synthetic_mt5_history,XAUUSD,30m,BUY,breakout,new_york,bullish,low,4.13,18.82,2.89,91,1,0,0,0,marubozu_bearish,bearish,28,usd_bullish,mt5_history,2026-01-01 23:44:00,2026-01-02 00:44:00,2333.28,2331.07,2336.46,2339.64,2336.73,win,1.57,"Synthetic ML row: breakout | marubozu_bearish | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00058,synthetic_mt5_history,EURUSD,5m,BUY,liquidity_sweep,overlap,bullish,low,0.5,17.23,3.53,79,0,1,0,0,tweezer_top,bearish,55,usd_bullish,mt5_history,2026-01-02 00:00:00,2026-01-02 01:30:00,1.05665,1.05486,1.05979,1.06294,1.05838,win,0.97,"Synthetic ML row: liquidity_sweep | tweezer_top | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00059,synthetic_mt5_history,BTCUSD,5m,BUY,trend_follow,new_york,high_volatility,low,48.3,824.83,2.44,50,1,0,1,0,hanging_man,bearish,81,usd_bullish,mt5_history,2026-01-02 00:09:00,2026-01-02 01:39:00,66091.26,65006.36,67414.84,68738.42,69454.45,win,3.1,"Synthetic ML row: trend_follow | hanging_man | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00060,synthetic_mt5_history,GBPUSD,5m,SELL,breakout,overlap,bullish,high,0.71,17.42,2.39,57,1,1,1,1,bearish_engulfing,bearish,69,neutral,mt5_history,2026-01-02 00:18:00,2026-01-02 00:48:00,1.2939,1.29514,1.29241,1.29093,1.29275,win,0.92,"Synthetic ML row: breakout | bearish_engulfing | overlap | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00061,synthetic_mt5_history,USDJPY,1h,BUY,liquidity_sweep,overlap,bearish,medium,1.57,7.57,2.38,70,0,1,1,0,none,neutral,0,usd_bullish,mt5_history,2026-01-02 00:31:00,2026-01-02 02:31:00,151.744,151.655,151.851,151.957,151.672,loss,-0.81,"Synthetic ML row: liquidity_sweep | none | overlap | medium news | loss. Use for testing pipeline, not as real edge."
