trade_id,source_type,symbol,timeframe,action,setup_type,session,market_regime,news_risk,spread_pips,atr_pips,rr_ratio,rule_confidence,tf_alignment,liquidity_sweep,fvg_present,order_block_present,candlestick_pattern,candlestick_bias,candlestick_strength,dxy_bias,source_knowledge,entry_time,exit_time,entry_price,stop_loss,take_profit_1,take_profit_2,exit_price,result,pnl_r,notes
SYNTHETIC_BACKTEST_00001,synthetic_backtest,BTCUSD,30m,BUY,order_block_retest,overlap,bullish,low,38.24,317.8,3.79,82,1,0,0,1,morning_star,bullish,33,usd_bullish,backtest,2026-01-01 09:45:00,2026-01-01 10:45:00,64087.08,63794.67,64641.2,65195.31,64698.22,win,2.09,"Synthetic ML row: order_block_retest | morning_star | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00015,synthetic_backtest,EURUSD,15m,SELL,trend_follow,london,bearish,high,0.63,5.9,3.59,73,0,1,1,1,inside_bar,neutral,26,usd_bearish,backtest,2026-01-01 12:53:00,2026-01-01 14:53:00,1.06948,1.07004,1.06849,1.06749,1.06895,win,0.96,"Synthetic ML row: trend_follow | inside_bar | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00016,synthetic_backtest,BTCUSD,30m,BUY,support_resistance,new_york,sideways,low,61.37,486.52,2.86,52,0,1,1,1,harami_bearish,bearish,95,usd_bullish,backtest,2026-01-01 13:23:00,2026-01-01 16:23:00,66185.23,65672.28,66918.74,67652.26,65692.8,loss,-0.96,"Synthetic ML row: support_resistance | harami_bearish | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00017,synthetic_backtest,USDJPY,5m,BUY,reversal,london,bearish,high,0.65,7.43,3.13,83,0,0,0,0,tweezer_bottom,bullish,38,neutral,backtest,2026-01-01 13:35:00,2026-01-01 14:35:00,157.066,157.012,157.151,157.236,157.124,win,1.07,"Synthetic ML row: reversal | tweezer_bottom | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00018,synthetic_backtest,EURUSD,5m,BUY,support_resistance,asia,sideways,low,0.72,16.27,3.76,90,1,0,1,0,bullish_engulfing,bullish,75,neutral,backtest,2026-01-01 13:56:00,2026-01-01 14:26:00,1.05342,1.05214,1.05582,1.05822,1.05459,win,0.92,"Synthetic ML row: support_resistance | bullish_engulfing | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00019,synthetic_backtest,XAUUSD,5m,BUY,breakout,new_york,bearish,low,3.91,20.98,2.04,45,1,1,1,0,bearish_engulfing,bearish,28,neutral,backtest,2026-01-01 14:08:00,2026-01-01 15:08:00,2406.08,2404.34,2407.86,2409.64,2408.02,win,1.11,"Synthetic ML row: breakout | bearish_engulfing | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00020,synthetic_backtest,GBPUSD,5m,BUY,order_block_retest,new_york,sideways,medium,2.0,17.01,3.46,95,1,0,0,1,three_white_soldiers,bullish,95,usd_bullish,backtest,2026-01-01 14:14:00,2026-01-01 17:14:00,1.30682,1.3058,1.3086,1.31037,1.31,win,3.1,"Synthetic ML row: order_block_retest | three_white_soldiers | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00021,synthetic_backtest,GBPUSD,1h,SELL,liquidity_sweep,london,bullish,low,0.84,7.22,2.87,68,1,1,1,0,three_white_soldiers,bullish,80,usd_bearish,backtest,2026-01-01 14:15:00,2026-01-01 18:15:00,1.27819,1.27868,1.27748,1.27678,1.27765,win,1.1,"Synthetic ML row: liquidity_sweep | three_white_soldiers | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00022,synthetic_backtest,BTCUSD,1h,SELL,trend_follow,asia,bearish,medium,50.59,802.92,1.31,83,1,0,0,0,three_white_soldiers,bullish,78,usd_bearish,backtest,2026-01-01 14:46:00,2026-01-01 15:16:00,64892.67,66013.55,64158.49,63424.31,66226.51,loss,-1.19,"Synthetic ML row: trend_follow | three_white_soldiers | asia | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00023,synthetic_backtest,USDJPY,30m,BUY,fvg_retest,asia,bearish,medium,1.43,8.02,3.82,53,1,1,1,0,three_black_crows,bearish,34,usd_bearish,backtest,2026-01-01 15:02:00,2026-01-01 15:47:00,155.077,155.009,155.206,155.335,155.246,win,2.5,"Synthetic ML row: fvg_retest | three_black_crows | asia | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00024,synthetic_backtest,XAUUSD,30m,BUY,fvg_retest,overlap,sideways,high,2.87,27.06,2.95,53,0,1,1,0,outside_bar,neutral,90,usd_bearish,backtest,2026-01-01 15:21:00,2026-01-01 16:06:00,2319.03,2316.09,2323.36,2327.7,2317.44,loss,-0.54,"Synthetic ML row: fvg_retest | outside_bar | overlap | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00025,synthetic_backtest,BTCUSD,15m,SELL,support_resistance,london,bullish,low,74.11,427.55,3.14,62,1,0,1,1,outside_bar,neutral,90,usd_bullish,backtest,2026-01-01 15:25:00,2026-01-01 18:25:00,66090.06,66389.83,65619.42,65148.78,65169.76,win,3.07,"Synthetic ML row: support_resistance | outside_bar | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00026,synthetic_backtest,BTCUSD,15m,BUY,liquidity_sweep,overlap,high_volatility,low,59.88,509.28,1.68,48,0,1,1,0,none,neutral,0,usd_bearish,backtest,2026-01-01 15:45:00,2026-01-01 16:30:00,65012.08,64331.87,65583.46,66154.84,65875.95,win,1.27,"Synthetic ML row: liquidity_sweep | none | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00027,synthetic_backtest,BTCUSD,30m,SELL,reversal,asia,bearish,low,38.49,1130.66,3.76,95,1,0,0,0,evening_star,bearish,58,usd_bearish,backtest,2026-01-01 16:15:00,2026-01-01 16:30:00,63406.72,64604.64,61154.63,58902.54,60364.0,win,2.54,"Synthetic ML row: reversal | evening_star | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00028,synthetic_backtest,XAUUSD,1h,BUY,breakout,overlap,high_volatility,low,4.34,31.28,2.21,81,1,1,0,0,outside_bar,neutral,48,usd_bullish,backtest,2026-01-01 16:13:00,2026-01-01 18:13:00,2375.45,2373.56,2377.54,2379.62,2375.28,breakeven,-0.09,"Synthetic ML row: breakout | outside_bar | overlap | low news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00029,synthetic_backtest,USDJPY,5m,SELL,fvg_retest,overlap,bearish,medium,1.33,12.61,2.58,58,0,1,1,1,harami_bearish,bearish,62,usd_bearish,backtest,2026-01-01 16:38:00,2026-01-01 17:08:00,160.505,160.661,160.304,160.103,160.43,win,0.48,"Synthetic ML row: fvg_retest | harami_bearish | overlap | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00030,synthetic_backtest,BTCUSD,1h,BUY,trend_follow,london,bearish,low,64.68,847.19,2.09,88,1,0,0,0,none,neutral,0,usd_bullish,backtest,2026-01-01 16:55:00,2026-01-01 18:55:00,64757.62,63894.15,65659.94,66562.27,65698.8,win,1.09,"Synthetic ML row: trend_follow | none | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00031,synthetic_backtest,EURUSD,15m,SELL,range_rejection,london,high_volatility,low,0.83,8.89,2.53,57,1,1,0,1,bearish_engulfing,bearish,79,neutral,backtest,2026-01-01 17:12:00,2026-01-01 18:42:00,1.07887,1.07951,1.07807,1.07728,1.07693,win,3.08,"Synthetic ML row: range_rejection | bearish_engulfing | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00032,synthetic_backtest,XAUUSD,30m,SELL,liquidity_sweep,asia,high_volatility,medium,4.38,12.31,2.61,91,1,1,0,0,dark_cloud_cover,bearish,71,usd_bullish,backtest,2026-01-01 17:10:00,2026-01-01 17:40:00,2285.49,2286.85,2283.72,2281.95,2283.76,win,1.28,"Synthetic ML row: liquidity_sweep | dark_cloud_cover | asia | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00033,synthetic_backtest,GBPUSD,5m,BUY,breakout,overlap,bullish,low,1.19,12.01,3.82,88,1,0,1,0,three_black_crows,bearish,89,usd_bearish,backtest,2026-01-01 17:26:00,2026-01-01 18:26:00,1.26086,1.25925,1.26392,1.26699,1.26092,breakeven,0.04,"Synthetic ML row: breakout | three_black_crows | overlap | low news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00034,synthetic_backtest,GBPUSD,15m,BUY,reversal,overlap,sideways,high,0.72,21.62,3.23,89,1,1,0,1,three_black_crows,bearish,65,usd_bullish,backtest,2026-01-01 17:59:00,2026-01-01 18:44:00,1.3061,1.3042,1.30916,1.31223,1.30813,win,1.07,"Synthetic ML row: reversal | three_black_crows | overlap | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00035,synthetic_backtest,BTCUSD,1h,SELL,order_block_retest,new_york,bullish,medium,20.78,774.71,0.96,67,0,0,0,1,bearish_engulfing,bearish,88,neutral,backtest,2026-01-01 17:57:00,2026-01-01 19:27:00,66783.83,67634.18,66375.66,65967.5,67251.52,loss,-0.55,"Synthetic ML row: order_block_retest | bearish_engulfing | new_york | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00036,synthetic_backtest,GBPUSD,15m,BUY,fvg_retest,new_york,bullish,medium,1.75,19.93,1.01,79,1,0,1,0,morning_star,bullish,29,usd_bearish,backtest,2026-01-01 18:10:00,2026-01-01 18:55:00,1.31018,1.30841,1.31107,1.31196,1.31212,win,1.1,"Synthetic ML row: fvg_retest | morning_star | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00037,synthetic_backtest,EURUSD,30m,SELL,liquidity_sweep,asia,bullish,low,1.02,10.57,3.72,80,1,1,1,1,three_white_soldiers,bullish,87,usd_bullish,backtest,2026-01-01 18:22:00,2026-01-01 22:22:00,1.08506,1.08628,1.08279,1.08052,1.08135,win,3.04,"Synthetic ML row: liquidity_sweep | three_white_soldiers | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00038,synthetic_backtest,EURUSD,15m,BUY,fvg_retest,new_york,sideways,low,1.6,7.04,1.85,58,0,0,1,0,pin_bar_bullish,bullish,27,usd_bullish,backtest,2026-01-01 18:42:00,2026-01-01 20:42:00,1.06906,1.06813,1.06992,1.07078,1.06859,loss,-0.5,"Synthetic ML row: fvg_retest | pin_bar_bullish | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00039,synthetic_backtest,EURUSD,5m,SELL,reversal,london,sideways,low,0.52,15.24,2.63,86,0,0,0,0,harami_bullish,bullish,44,usd_bearish,backtest,2026-01-01 18:58:00,2026-01-01 20:28:00,1.06827,1.06937,1.06682,1.06538,1.06606,win,2.01,"Synthetic ML row: reversal | harami_bullish | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00040,synthetic_backtest,XAUUSD,1h,BUY,liquidity_sweep,london,bullish,low,3.76,34.89,2.58,79,1,1,1,0,inside_bar,neutral,67,usd_bearish,backtest,2026-01-01 19:18:00,2026-01-01 22:18:00,2323.45,2320.25,2327.57,2331.69,2326.39,win,0.92,"Synthetic ML row: liquidity_sweep | inside_bar | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00041,synthetic_backtest,EURUSD,1h,BUY,reversal,new_york,sideways,high,1.66,14.03,1.2,73,1,0,0,1,three_black_crows,bearish,72,usd_bullish,backtest,2026-01-01 19:21:00,2026-01-01 22:21:00,1.09805,1.09702,1.09867,1.09928,1.10001,win,1.9,"Synthetic ML row: reversal | three_black_crows | new_york | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00042,synthetic_backtest,BTCUSD,5m,BUY,support_resistance,london,sideways,high,19.62,608.36,2.51,66,0,0,0,0,none,neutral,0,neutral,backtest,2026-01-01 19:44:00,2026-01-01 23:44:00,63703.17,63001.98,64583.16,65463.15,63008.99,loss,-0.99,"Synthetic ML row: support_resistance | none | london | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00043,synthetic_backtest,USDJPY,5m,BUY,support_resistance,new_york,high_volatility,medium,1.87,13.67,1.35,77,0,1,1,0,marubozu_bullish,bullish,52,usd_bearish,backtest,2026-01-01 20:09:00,2026-01-02 00:09:00,153.037,152.949,153.096,153.156,152.964,loss,-0.83,"Synthetic ML row: support_resistance | marubozu_bullish | new_york | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00044,synthetic_backtest,BTCUSD,30m,BUY,trend_follow,new_york,high_volatility,medium,56.53,917.7,3.76,78,0,0,0,1,morning_star,bullish,44,neutral,backtest,2026-01-01 20:22:00,2026-01-01 21:22:00,65784.29,64739.49,67748.52,69712.75,67058.95,win,1.22,"Synthetic ML row: trend_follow | morning_star | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00045,synthetic_backtest,XAUUSD,5m,BUY,reversal,new_york,bullish,high,3.59,10.79,1.99,57,0,0,0,1,pin_bar_bullish,bullish,41,usd_bullish,backtest,2026-01-01 20:27:00,2026-01-01 21:27:00,2279.91,2278.41,2281.4,2282.89,2279.14,loss,-0.51,"Synthetic ML row: reversal | pin_bar_bullish | new_york | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00046,synthetic_backtest,XAUUSD,15m,SELL,range_rejection,overlap,bearish,low,3.46,34.75,1.09,88,1,0,1,1,marubozu_bearish,bearish,37,neutral,backtest,2026-01-01 20:49:00,2026-01-01 21:04:00,2400.84,2403.37,2399.47,2398.09,2403.4,loss,-1.01,"Synthetic ML row: range_rejection | marubozu_bearish | overlap | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00047,synthetic_backtest,BTCUSD,5m,BUY,order_block_retest,overlap,bullish,low,71.07,1135.83,2.14,45,1,0,0,1,hammer,bullish,74,neutral,backtest,2026-01-01 21:14:00,2026-01-02 00:14:00,64845.97,63480.12,66307.43,67768.89,66990.36,win,1.57,"Synthetic ML row: order_block_retest | hammer | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00048,synthetic_backtest,XAUUSD,15m,SELL,range_rejection,new_york,bullish,high,2.4,8.98,3.89,70,0,1,1,1,piercing_line,bullish,71,usd_bullish,backtest,2026-01-01 21:18:00,2026-01-02 00:18:00,2327.97,2328.73,2326.5,2325.03,2328.56,loss,-0.78,"Synthetic ML row: range_rejection | piercing_line | new_york | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00049,synthetic_backtest,BTCUSD,15m,SELL,reversal,london,bullish,low,57.25,1115.62,3.16,86,0,1,0,1,three_white_soldiers,bullish,40,neutral,backtest,2026-01-01 21:43:00,2026-01-01 21:58:00,65131.82,66241.19,63379.03,61626.23,61803.73,win,3.0,"Synthetic ML row: reversal | three_white_soldiers | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00050,synthetic_backtest,BTCUSD,1h,BUY,breakout,asia,bearish,low,21.11,1163.98,3.97,74,0,0,0,0,harami_bullish,bullish,73,usd_bullish,backtest,2026-01-01 21:37:00,2026-01-01 22:37:00,64066.89,63180.12,65827.14,67587.38,63180.12,loss,-1.0,"Synthetic ML row: breakout | harami_bullish | asia | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00051,synthetic_backtest,XAUUSD,5m,BUY,support_resistance,asia,high_volatility,medium,3.68,32.74,2.6,62,1,1,0,0,dark_cloud_cover,bearish,28,usd_bearish,backtest,2026-01-01 22:08:00,2026-01-02 00:08:00,2413.03,2410.12,2416.81,2420.59,2422.04,win,3.1,"Synthetic ML row: support_resistance | dark_cloud_cover | asia | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00052,synthetic_backtest,EURUSD,30m,SELL,range_rejection,new_york,bullish,high,0.77,8.64,1.05,66,1,0,1,0,none,neutral,0,usd_bearish,backtest,2026-01-01 22:29:00,2026-01-01 23:59:00,1.08552,1.08661,1.08496,1.08439,1.08497,win,0.51,"Synthetic ML row: range_rejection | none | new_york | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00053,synthetic_backtest,EURUSD,15m,SELL,range_rejection,london,sideways,high,1.78,6.78,1.98,90,0,1,0,0,inside_bar,neutral,82,neutral,backtest,2026-01-01 22:36:00,2026-01-02 00:06:00,1.09481,1.09553,1.09409,1.09338,1.09401,win,1.11,"Synthetic ML row: range_rejection | inside_bar | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00054,synthetic_backtest,EURUSD,1h,BUY,order_block_retest,new_york,bearish,low,1.1,6.36,3.7,46,1,0,1,1,doji,neutral,32,usd_bullish,backtest,2026-01-01 22:46:00,2026-01-02 00:46:00,1.11233,1.11187,1.11317,1.11401,1.11255,win,0.5,"Synthetic ML row: order_block_retest | doji | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00055,synthetic_backtest,XAUUSD,30m,BUY,order_block_retest,new_york,high_volatility,low,3.72,12.76,3.65,77,0,1,1,1,outside_bar,neutral,45,usd_bearish,backtest,2026-01-01 22:51:00,2026-01-01 23:36:00,2402.13,2400.41,2405.26,2408.4,2402.85,win,0.42,"Synthetic ML row: order_block_retest | outside_bar | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00056,synthetic_backtest,XAUUSD,30m,SELL,support_resistance,overlap,bullish,medium,2.08,8.09,1.69,48,0,0,1,0,three_black_crows,bearish,82,neutral,backtest,2026-01-01 23:26:00,2026-01-02 03:26:00,2410.97,2411.6,2410.45,2409.92,2411.58,loss,-0.97,"Synthetic ML row: support_resistance | three_black_crows | overlap | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00057,synthetic_backtest,GBPUSD,5m,SELL,reversal,asia,bearish,high,2.12,9.04,0.88,64,0,0,0,1,none,neutral,0,usd_bullish,backtest,2026-01-01 23:40:00,2026-01-02 00:10:00,1.27457,1.27523,1.27428,1.27399,1.2726,win,2.98,"Synthetic ML row: reversal | none | asia | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00058,synthetic_backtest,XAUUSD,5m,BUY,reversal,london,bearish,medium,3.68,31.11,3.31,67,0,1,1,0,tweezer_top,bearish,75,usd_bullish,backtest,2026-01-01 23:57:00,2026-01-02 00:57:00,2407.75,2405.51,2411.45,2415.15,2405.58,loss,-0.97,"Synthetic ML row: reversal | tweezer_top | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00059,synthetic_backtest,EURUSD,15m,SELL,reversal,new_york,bearish,low,1.58,15.16,1.52,59,1,0,1,1,bullish_engulfing,bullish,61,usd_bearish,backtest,2026-01-02 00:02:00,2026-01-02 04:02:00,1.05542,1.05655,1.05455,1.05369,1.05594,loss,-0.46,"Synthetic ML row: reversal | bullish_engulfing | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00060,synthetic_backtest,BTCUSD,5m,SELL,trend_follow,new_york,high_volatility,medium,55.85,1149.76,3.94,59,0,0,0,0,dark_cloud_cover,bearish,29,neutral,backtest,2026-01-02 00:30:00,2026-01-02 04:30:00,65648.26,67112.42,62763.86,59879.46,64125.53,win,1.04,"Synthetic ML row: trend_follow | dark_cloud_cover | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00061,synthetic_backtest,USDJPY,30m,SELL,order_block_retest,new_york,bearish,low,1.57,8.44,3.85,90,0,1,0,1,morning_star,bullish,43,neutral,backtest,2026-01-02 00:36:00,2026-01-02 01:21:00,158.237,158.333,158.053,157.869,158.144,win,0.97,"Synthetic ML row: order_block_retest | morning_star | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00062,synthetic_backtest,EURUSD,30m,BUY,fvg_retest,london,high_volatility,low,1.67,15.27,2.33,60,1,1,1,0,doji,neutral,72,usd_bullish,backtest,2026-01-02 00:51:00,2026-01-02 04:51:00,1.0704,1.06848,1.07265,1.07489,1.0694,loss,-0.52,"Synthetic ML row: fvg_retest | doji | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00063,synthetic_backtest,XAUUSD,30m,SELL,breakout,london,bearish,medium,2.02,25.85,2.43,63,0,1,0,1,hanging_man,bearish,66,neutral,backtest,2026-01-02 01:08:00,2026-01-02 02:38:00,2391.0,2392.64,2389.0,2387.0,2393.04,loss,-1.24,"Synthetic ML row: breakout | hanging_man | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00064,synthetic_backtest,GBPUSD,5m,SELL,fvg_retest,new_york,sideways,high,1.85,18.44,1.86,62,1,0,1,0,hammer,bullish,79,usd_bullish,backtest,2026-01-02 01:18:00,2026-01-02 02:18:00,1.28196,1.28373,1.28031,1.27866,1.27834,win,2.04,"Synthetic ML row: fvg_retest | hammer | new_york | high news | win. Use for testing pipeline, not as real edge."
