trade_id,source_type,symbol,timeframe,action,setup_type,session,market_regime,news_risk,spread_pips,atr_pips,rr_ratio,rule_confidence,tf_alignment,liquidity_sweep,fvg_present,order_block_present,candlestick_pattern,candlestick_bias,candlestick_strength,dxy_bias,source_knowledge,entry_time,exit_time,entry_price,stop_loss,take_profit_1,take_profit_2,exit_price,result,pnl_r,notes
SYNTHETIC_SMC_ICT_00143,synthetic_smc_ict,EURUSD,30m,BUY,order_block_retest,london,sideways,medium,1.33,7.67,3.33,66,0,1,1,1,three_black_crows,bearish,91,usd_bullish,smc_ict,2026-01-02 21:03:00,2026-01-03 01:03:00,1.08744,1.08689,1.08835,1.08927,1.08878,win,2.45,"Synthetic ML row: order_block_retest | three_black_crows | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00052,synthetic_candles,EURUSD,15m,BUY,order_block_retest,new_york,bullish,low,0.94,14.42,2.77,46,0,0,1,1,tweezer_top,bearish,95,usd_bullish,candlestick,2026-01-01 22:15:00,2026-01-01 22:30:00,1.09448,1.09306,1.09645,1.09842,1.09803,win,2.5,"Synthetic ML row: order_block_retest | tweezer_top | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00171,synthetic_candles,EURUSD,15m,SELL,liquidity_sweep,new_york,high_volatility,high,1.26,16.71,2.46,57,1,1,1,0,shooting_star,bearish,36,usd_bearish,candlestick,2026-01-03 03:57:00,2026-01-03 05:27:00,1.10023,1.10224,1.09776,1.09529,1.09615,win,2.03,"Synthetic ML row: liquidity_sweep | shooting_star | new_york | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00045,synthetic_backtest,XAUUSD,5m,BUY,reversal,new_york,bullish,high,3.59,10.79,1.99,57,0,0,0,1,pin_bar_bullish,bullish,41,usd_bullish,backtest,2026-01-01 20:27:00,2026-01-01 21:27:00,2279.91,2278.41,2281.4,2282.89,2279.14,loss,-0.51,"Synthetic ML row: reversal | pin_bar_bullish | new_york | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00231,synthetic_backtest,XAUUSD,1h,SELL,liquidity_sweep,new_york,sideways,high,2.01,24.66,1.66,86,0,1,1,0,outside_bar,neutral,95,usd_bullish,backtest,2026-01-03 19:01:00,2026-01-03 20:31:00,2365.58,2368.78,2362.93,2360.28,2356.21,win,2.93,"Synthetic ML row: liquidity_sweep | outside_bar | new_york | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00112,synthetic_candles,USDJPY,5m,SELL,order_block_retest,london,low_volatility,low,0.9,19.19,3.13,57,1,0,0,1,inside_bar,neutral,88,usd_bearish,candlestick,2026-01-02 13:08:00,2026-01-02 14:08:00,157.303,157.557,156.905,156.507,157.186,win,0.46,"Synthetic ML row: order_block_retest | inside_bar | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00170,synthetic_candles,XAUUSD,15m,SELL,fvg_retest,london,bullish,low,2.66,19.45,1.59,75,1,0,1,0,tweezer_top,bearish,87,usd_bullish,candlestick,2026-01-03 03:50:00,2026-01-03 04:35:00,2316.35,2318.22,2314.86,2313.37,2317.25,loss,-0.48,"Synthetic ML row: fvg_retest | tweezer_top | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00022,synthetic_smc_ict,EURUSD,1h,SELL,fvg_retest,new_york,high_volatility,high,1.21,8.84,1.5,93,1,1,1,1,harami_bullish,bullish,87,usd_bearish,smc_ict,2026-01-01 14:33:00,2026-01-01 15:18:00,1.0827,1.08346,1.08214,1.08157,1.08193,win,1.03,"Synthetic ML row: fvg_retest | harami_bullish | new_york | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00144,synthetic_smc_ict,BTCUSD,30m,BUY,liquidity_sweep,asia,bearish,low,75.56,728.18,3.43,77,1,1,0,0,hammer,bullish,49,neutral,smc_ict,2026-01-02 21:15:00,2026-01-02 21:45:00,64907.84,64245.55,66043.66,67179.47,65921.13,win,1.53,"Synthetic ML row: liquidity_sweep | hammer | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00234,synthetic_smc_ict,XAUUSD,1h,BUY,order_block_retest,asia,bullish,high,3.56,26.91,2.27,74,0,0,0,1,none,neutral,0,neutral,smc_ict,2026-01-03 19:32:00,2026-01-03 20:02:00,2295.39,2292.91,2298.21,2301.03,2302.96,win,3.05,"Synthetic ML row: order_block_retest | none | asia | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00003,synthetic_mt5_history,XAUUSD,30m,SELL,liquidity_sweep,asia,bullish,medium,4.12,34.37,3.01,66,0,1,0,0,bearish_engulfing,bearish,48,neutral,mt5_history,2026-01-01 10:10:00,2026-01-01 10:55:00,2283.35,2286.54,2278.55,2273.76,2285.07,loss,-0.54,"Synthetic ML row: liquidity_sweep | bearish_engulfing | asia | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00130,synthetic_backtest,BTCUSD,1h,BUY,breakout,overlap,bullish,medium,32.45,202.87,2.63,91,1,1,1,0,marubozu_bearish,bearish,29,neutral,backtest,2026-01-02 18:00:00,2026-01-02 18:45:00,66301.06,66051.87,66628.75,66956.44,66545.27,win,0.98,"Synthetic ML row: breakout | marubozu_bearish | overlap | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00025,synthetic_starter,USDJPY,1h,SELL,trend_follow,new_york,bullish,low,1.09,13.26,1.78,59,1,0,1,0,inside_bar,neutral,85,usd_bullish,backtest,2026-01-01 15:38:00,2026-01-01 19:38:00,154.105,154.247,153.979,153.852,154.223,loss,-0.83,"Synthetic ML row: trend_follow | inside_bar | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00127,synthetic_mt5_history,GBPUSD,1h,SELL,fvg_retest,london,bearish,high,1.79,15.59,2.19,89,0,0,1,0,bearish_engulfing,bearish,27,usd_bearish,mt5_history,2026-01-02 16:49:00,2026-01-02 17:49:00,1.27613,1.27768,1.27444,1.27274,1.27429,win,1.19,"Synthetic ML row: fvg_retest | bearish_engulfing | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00233,synthetic_smc_ict,BTCUSD,5m,SELL,liquidity_sweep,london,high_volatility,low,76.04,936.74,2.92,50,1,1,0,1,bullish_engulfing,bullish,44,usd_bearish,smc_ict,2026-01-03 19:21:00,2026-01-03 19:36:00,65298.54,66604.12,63392.4,61486.26,65938.27,loss,-0.49,"Synthetic ML row: liquidity_sweep | bullish_engulfing | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00223,synthetic_smc_ict,GBPUSD,15m,BUY,range_rejection,overlap,high_volatility,low,1.32,23.24,3.56,82,1,1,1,1,evening_star,bearish,42,neutral,smc_ict,2026-01-03 17:00:00,2026-01-03 19:00:00,1.27578,1.27256,1.28152,1.28725,1.28522,win,2.93,"Synthetic ML row: range_rejection | evening_star | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00152,synthetic_candles,USDJPY,5m,BUY,reversal,new_york,sideways,medium,1.25,11.15,2.0,89,1,1,0,0,tweezer_top,bearish,74,usd_bearish,candlestick,2026-01-02 23:20:00,2026-01-02 23:35:00,153.456,153.309,153.603,153.749,153.635,win,1.22,"Synthetic ML row: reversal | tweezer_top | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00247,synthetic_backtest,EURUSD,15m,BUY,trend_follow,london,bullish,medium,0.97,14.62,1.1,73,1,0,0,0,none,neutral,0,neutral,backtest,2026-01-03 22:45:00,2026-01-03 23:30:00,1.0662,1.06442,1.06719,1.06817,1.06701,win,0.45,"Synthetic ML row: trend_follow | none | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00077,synthetic_candles,XAUUSD,15m,SELL,liquidity_sweep,london,bullish,medium,2.92,12.76,2.94,47,1,1,1,1,doji,neutral,39,usd_bullish,candlestick,2026-01-02 04:29:00,2026-01-02 04:44:00,2294.22,2295.1,2292.94,2291.65,2291.53,win,3.08,"Synthetic ML row: liquidity_sweep | doji | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00105,synthetic_starter,EURUSD,30m,SELL,trend_follow,new_york,sideways,medium,0.52,9.69,1.81,69,0,1,0,1,tweezer_bottom,bullish,39,neutral,mt5_history,2026-01-02 11:17:00,2026-01-02 11:32:00,1.06952,1.07013,1.06896,1.06841,1.06986,loss,-0.55,"Synthetic ML row: trend_follow | tweezer_bottom | new_york | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00144,synthetic_backtest,USDJPY,1h,BUY,breakout,london,bullish,high,1.52,10.46,3.37,56,0,0,1,0,shooting_star,bearish,30,usd_bullish,backtest,2026-01-02 21:19:00,2026-01-03 00:19:00,151.553,151.411,151.792,152.032,151.377,loss,-1.24,"Synthetic ML row: breakout | shooting_star | london | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00020,synthetic_starter,XAUUSD,1h,SELL,range_rejection,asia,sideways,low,3.54,18.92,1.33,74,0,0,0,0,marubozu_bullish,bullish,87,usd_bullish,smc_ict,2026-01-01 14:21:00,2026-01-01 14:36:00,2291.34,2293.12,2290.15,2288.96,2293.46,loss,-1.19,"Synthetic ML row: range_rejection | marubozu_bullish | asia | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00110,synthetic_smc_ict,XAUUSD,30m,BUY,range_rejection,london,bearish,high,1.53,23.49,1.77,57,0,0,1,1,harami_bullish,bullish,35,usd_bearish,smc_ict,2026-01-02 12:52:00,2026-01-02 15:52:00,2326.82,2323.91,2329.41,2331.99,2326.91,breakeven,0.03,"Synthetic ML row: range_rejection | harami_bullish | london | high news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00039,synthetic_backtest,EURUSD,5m,SELL,reversal,london,sideways,low,0.52,15.24,2.63,86,0,0,0,0,harami_bullish,bullish,44,usd_bearish,backtest,2026-01-01 18:58:00,2026-01-01 20:28:00,1.06827,1.06937,1.06682,1.06538,1.06606,win,2.01,"Synthetic ML row: reversal | harami_bullish | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00081,synthetic_mt5_history,USDJPY,1h,SELL,liquidity_sweep,asia,bullish,medium,1.09,16.01,2.52,91,0,1,1,0,inverted_hammer,bullish,51,usd_bullish,mt5_history,2026-01-02 05:41:00,2026-01-02 06:26:00,155.698,155.803,155.565,155.433,155.689,breakeven,0.08,"Synthetic ML row: liquidity_sweep | inverted_hammer | asia | medium news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00024,synthetic_backtest,XAUUSD,30m,BUY,fvg_retest,overlap,sideways,high,2.87,27.06,2.95,53,0,1,1,0,outside_bar,neutral,90,usd_bearish,backtest,2026-01-01 15:21:00,2026-01-01 16:06:00,2319.03,2316.09,2323.36,2327.7,2317.44,loss,-0.54,"Synthetic ML row: fvg_retest | outside_bar | overlap | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00144,synthetic_mt5_history,USDJPY,5m,SELL,support_resistance,london,sideways,high,1.38,17.42,2.63,47,1,1,0,0,none,neutral,0,neutral,mt5_history,2026-01-02 21:24:00,2026-01-03 00:24:00,151.862,152.03,151.639,151.417,152.032,loss,-1.01,"Synthetic ML row: support_resistance | none | london | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00016,synthetic_mt5_history,EURUSD,15m,BUY,support_resistance,london,bullish,low,1.21,5.76,1.84,75,1,1,1,0,marubozu_bearish,bearish,37,usd_bullish,mt5_history,2026-01-01 13:28:00,2026-01-01 14:13:00,1.1034,1.10301,1.10376,1.10412,1.10292,loss,-1.24,"Synthetic ML row: support_resistance | marubozu_bearish | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00148,synthetic_backtest,BTCUSD,1h,BUY,range_rejection,overlap,high_volatility,low,27.41,619.78,2.14,51,1,0,0,0,pin_bar_bearish,bearish,86,usd_bullish,backtest,2026-01-02 22:22:00,2026-01-03 00:22:00,66109.07,65506.39,66753.95,67398.82,66428.5,win,0.53,"Synthetic ML row: range_rejection | pin_bar_bearish | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00206,synthetic_backtest,EURUSD,30m,SELL,liquidity_sweep,london,high_volatility,low,1.13,17.59,2.71,47,0,1,1,1,three_white_soldiers,bullish,87,neutral,backtest,2026-01-03 12:53:00,2026-01-03 14:23:00,1.1088,1.10997,1.10722,1.10564,1.10939,loss,-0.5,"Synthetic ML row: liquidity_sweep | three_white_soldiers | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00066,synthetic_starter,USDJPY,15m,BUY,trend_follow,new_york,sideways,high,1.15,13.32,1.57,82,1,1,0,0,evening_star,bearish,90,usd_bearish,blue_journal,2026-01-02 01:50:00,2026-01-02 05:50:00,154.192,154.111,154.255,154.319,154.36,win,2.08,"Synthetic ML row: trend_follow | evening_star | new_york | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00105,synthetic_backtest,EURUSD,5m,SELL,fvg_retest,london,bearish,high,1.19,13.28,1.96,83,1,0,1,1,inverted_hammer,bullish,35,usd_bullish,backtest,2026-01-02 11:26:00,2026-01-02 12:11:00,1.07182,1.07355,1.07013,1.06844,1.0697,win,1.23,"Synthetic ML row: fvg_retest | inverted_hammer | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00119,synthetic_smc_ict,BTCUSD,15m,BUY,fvg_retest,new_york,sideways,low,47.99,635.82,3.68,91,1,0,1,0,tweezer_top,bearish,37,usd_bearish,smc_ict,2026-01-02 15:12:00,2026-01-02 15:27:00,64897.61,64402.52,65808.58,66719.55,66100.69,win,2.43,"Synthetic ML row: fvg_retest | tweezer_top | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00171,synthetic_backtest,BTCUSD,30m,SELL,reversal,asia,low_volatility,high,72.07,500.22,2.41,95,1,1,1,0,outside_bar,neutral,84,usd_bearish,backtest,2026-01-03 04:07:00,2026-01-03 08:07:00,63576.41,64192.09,62834.5,62092.6,64179.78,loss,-0.98,"Synthetic ML row: reversal | outside_bar | asia | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00246,synthetic_candles,USDJPY,5m,SELL,reversal,overlap,bearish,low,0.77,8.34,0.87,54,0,1,0,1,pin_bar_bullish,bullish,94,neutral,candlestick,2026-01-03 22:39:00,2026-01-04 00:09:00,157.77,157.884,157.721,157.671,157.861,loss,-0.8,"Synthetic ML row: reversal | pin_bar_bullish | overlap | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00134,synthetic_mt5_history,EURUSD,5m,BUY,reversal,new_york,sideways,low,0.93,11.18,2.85,56,1,0,0,1,bearish_engulfing,bearish,39,usd_bearish,mt5_history,2026-01-02 18:53:00,2026-01-02 19:53:00,1.07233,1.07106,1.07413,1.07593,1.07613,win,3.01,"Synthetic ML row: reversal | bearish_engulfing | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00134,synthetic_smc_ict,GBPUSD,30m,SELL,liquidity_sweep,london,sideways,low,1.08,15.05,3.35,93,1,1,0,0,harami_bullish,bullish,87,neutral,smc_ict,2026-01-02 18:41:00,2026-01-02 22:41:00,1.31284,1.3142,1.31056,1.30828,1.31009,win,2.02,"Synthetic ML row: liquidity_sweep | harami_bullish | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_SMC_ICT_00178,synthetic_smc_ict,EURUSD,1h,BUY,range_rejection,london,high_volatility,high,1.52,15.84,3.19,78,1,0,0,0,tweezer_bottom,bullish,60,usd_bearish,smc_ict,2026-01-03 05:38:00,2026-01-03 06:23:00,1.08019,1.07922,1.08174,1.08328,1.08129,win,1.13,"Synthetic ML row: range_rejection | tweezer_bottom | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00151,synthetic_candles,GBPUSD,1h,BUY,reversal,overlap,bullish,low,1.65,22.66,3.24,82,1,1,0,0,doji,neutral,49,usd_bullish,candlestick,2026-01-02 23:12:00,2026-01-02 23:57:00,1.30189,1.29877,1.30694,1.31198,1.30986,win,2.56,"Synthetic ML row: reversal | doji | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00195,synthetic_backtest,GBPUSD,1h,BUY,reversal,london,sideways,high,1.58,10.01,3.66,69,1,0,0,1,bullish_engulfing,bullish,74,neutral,backtest,2026-01-03 10:08:00,2026-01-03 11:08:00,1.25322,1.25202,1.25542,1.25762,1.25445,win,1.02,"Synthetic ML row: reversal | bullish_engulfing | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00132,synthetic_starter,GBPUSD,5m,SELL,fvg_retest,overlap,low_volatility,low,1.43,17.73,1.37,85,0,1,1,1,three_white_soldiers,bullish,43,usd_bullish,blue_journal,2026-01-02 18:18:00,2026-01-02 19:03:00,1.2742,1.27635,1.27273,1.27126,1.26765,win,3.05,"Synthetic ML row: fvg_retest | three_white_soldiers | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_BACKTEST_00095,synthetic_backtest,GBPUSD,15m,SELL,reversal,new_york,sideways,low,1.29,13.27,3.85,70,1,1,1,0,none,neutral,0,neutral,backtest,2026-01-02 08:59:00,2026-01-02 09:59:00,1.26032,1.26165,1.25775,1.25518,1.25974,win,0.43,"Synthetic ML row: reversal | none | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00222,synthetic_candles,XAUUSD,1h,SELL,breakout,london,bearish,medium,4.22,25.41,3.31,70,1,0,1,0,doji,neutral,85,usd_bullish,candlestick,2026-01-03 16:51:00,2026-01-03 18:21:00,2322.84,2326.2,2317.28,2311.72,2326.27,loss,-1.02,"Synthetic ML row: breakout | doji | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00040,synthetic_mt5_history,XAUUSD,15m,SELL,reversal,new_york,sideways,high,2.15,26.49,1.66,53,1,1,1,1,inverted_hammer,bullish,54,usd_bullish,mt5_history,2026-01-01 19:21:00,2026-01-01 21:21:00,2406.55,2408.53,2404.9,2403.25,2403.43,win,1.57,"Synthetic ML row: reversal | inverted_hammer | new_york | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00062,synthetic_candles,USDJPY,1h,SELL,trend_follow,new_york,bearish,medium,1.82,8.01,0.84,86,1,0,0,0,marubozu_bullish,bullish,74,usd_bullish,candlestick,2026-01-02 00:34:00,2026-01-02 01:04:00,152.8,152.9,152.758,152.716,152.552,win,2.49,"Synthetic ML row: trend_follow | marubozu_bullish | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00137,synthetic_mt5_history,GBPUSD,5m,BUY,fvg_retest,new_york,bearish,low,1.45,19.54,1.35,50,1,1,1,0,three_white_soldiers,bullish,81,usd_bearish,mt5_history,2026-01-02 19:22:00,2026-01-02 19:37:00,1.28828,1.2864,1.28955,1.29082,1.29287,win,2.44,"Synthetic ML row: fvg_retest | three_white_soldiers | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00141,synthetic_starter,BTCUSD,15m,SELL,liquidity_sweep,new_york,bearish,low,56.69,901.71,1.16,93,1,1,1,0,pin_bar_bullish,bullish,67,neutral,blue_journal,2026-01-02 20:26:00,2026-01-02 20:56:00,63228.53,63887.98,62846.06,62463.58,62430.61,win,1.21,"Synthetic ML row: liquidity_sweep | pin_bar_bullish | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00099,synthetic_starter,USDJPY,30m,SELL,breakout,overlap,high_volatility,low,1.7,19.02,3.38,81,1,1,0,1,pin_bar_bullish,bullish,69,usd_bearish,smc_ict,2026-01-02 09:53:00,2026-01-02 10:23:00,152.785,153.013,152.399,152.013,152.52,win,1.16,"Synthetic ML row: breakout | pin_bar_bullish | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00212,synthetic_candles,GBPUSD,15m,BUY,liquidity_sweep,london,bullish,low,1.1,23.6,2.61,81,1,1,1,0,inside_bar,neutral,49,usd_bearish,candlestick,2026-01-03 14:11:00,2026-01-03 15:41:00,1.31009,1.30773,1.31317,1.31625,1.31269,win,1.1,"Synthetic ML row: liquidity_sweep | inside_bar | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_CANDLES_00065,synthetic_candles,GBPUSD,5m,SELL,order_block_retest,new_york,sideways,medium,1.98,11.72,1.22,62,0,0,0,1,inverted_hammer,bullish,28,usd_bearish,candlestick,2026-01-02 01:36:00,2026-01-02 05:36:00,1.26504,1.2659,1.26451,1.26398,1.26326,win,2.05,"Synthetic ML row: order_block_retest | inverted_hammer | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_MT5_HISTORY_00133,synthetic_mt5_history,XAUUSD,1h,SELL,support_resistance,new_york,bullish,high,2.77,17.04,1.66,71,1,1,1,1,outside_bar,neutral,40,usd_bearish,mt5_history,2026-01-02 18:34:00,2026-01-02 21:34:00,2341.62,2343.46,2340.1,2338.57,2339.27,win,1.28,"Synthetic ML row: support_resistance | outside_bar | new_york | high news | win. Use for testing pipeline, not as real edge."
