trade_id,source_type,symbol,timeframe,action,setup_type,session,market_regime,news_risk,spread_pips,atr_pips,rr_ratio,rule_confidence,tf_alignment,liquidity_sweep,fvg_present,order_block_present,candlestick_pattern,candlestick_bias,candlestick_strength,dxy_bias,source_knowledge,entry_time,exit_time,entry_price,stop_loss,take_profit_1,take_profit_2,exit_price,result,pnl_r,notes
SYNTHETIC_STARTER_00001,synthetic_starter,XAUUSD,30m,BUY,breakout,london,bullish,low,2.1,25.55,2.54,59,0,0,0,0,marubozu_bearish,bearish,29,usd_bearish,mt5_history,2026-01-01 09:23:00,2026-01-01 10:08:00,2309.86,2306.77,2313.79,2317.72,2317.53,win,2.48,"Synthetic ML row: breakout | marubozu_bearish | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00013,synthetic_starter,USDJPY,5m,BUY,liquidity_sweep,asia,high_volatility,high,1.71,19.77,3.68,58,0,1,0,1,piercing_line,bullish,80,neutral,candlestick,2026-01-01 12:38:00,2026-01-01 13:23:00,160.19,160.034,160.477,160.765,160.011,loss,-1.15,"Synthetic ML row: liquidity_sweep | piercing_line | asia | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00014,synthetic_starter,EURUSD,1h,BUY,range_rejection,asia,bearish,medium,1.11,7.59,3.74,67,0,1,0,0,harami_bullish,bullish,59,usd_bearish,smc_ict,2026-01-01 12:36:00,2026-01-01 15:36:00,1.07382,1.07284,1.07565,1.07749,1.07299,loss,-0.85,"Synthetic ML row: range_rejection | harami_bullish | asia | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00015,synthetic_starter,GBPUSD,1h,SELL,liquidity_sweep,new_york,bearish,medium,1.59,12.88,3.32,72,1,1,1,0,shooting_star,bearish,47,neutral,booming_bulls_notes,2026-01-01 12:45:00,2026-01-01 13:45:00,1.26461,1.26546,1.26321,1.26181,1.26416,win,0.54,"Synthetic ML row: liquidity_sweep | shooting_star | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00016,synthetic_starter,GBPUSD,5m,SELL,range_rejection,new_york,bearish,low,1.82,9.96,2.62,70,1,0,1,0,outside_bar,neutral,62,neutral,mt5_history,2026-01-01 13:18:00,2026-01-01 15:18:00,1.27232,1.27327,1.27108,1.26983,1.27138,win,0.99,"Synthetic ML row: range_rejection | outside_bar | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00017,synthetic_starter,EURUSD,15m,SELL,fvg_retest,new_york,sideways,low,0.82,11.18,3.52,49,0,0,1,0,hammer,bullish,64,usd_bearish,smc_ict,2026-01-01 13:19:00,2026-01-01 13:34:00,1.11056,1.112,1.10803,1.10549,1.10843,win,1.48,"Synthetic ML row: fvg_retest | hammer | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00018,synthetic_starter,XAUUSD,15m,SELL,liquidity_sweep,asia,bearish,high,4.46,24.08,3.84,73,1,1,1,1,marubozu_bullish,bullish,40,neutral,smc_ict,2026-01-01 13:47:00,2026-01-01 17:47:00,2406.01,2408.88,2400.48,2394.96,2409.37,loss,-1.17,"Synthetic ML row: liquidity_sweep | marubozu_bullish | asia | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00019,synthetic_starter,USDJPY,30m,SELL,support_resistance,new_york,bullish,medium,1.85,7.29,1.28,69,1,1,0,0,hanging_man,bearish,60,neutral,smc_ict,2026-01-01 13:51:00,2026-01-01 16:51:00,155.164,155.253,155.107,155.051,155.033,win,1.48,"Synthetic ML row: support_resistance | hanging_man | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00020,synthetic_starter,XAUUSD,1h,SELL,range_rejection,asia,sideways,low,3.54,18.92,1.33,74,0,0,0,0,marubozu_bullish,bullish,87,usd_bullish,smc_ict,2026-01-01 14:21:00,2026-01-01 14:36:00,2291.34,2293.12,2290.15,2288.96,2293.46,loss,-1.19,"Synthetic ML row: range_rejection | marubozu_bullish | asia | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00021,synthetic_starter,USDJPY,5m,BUY,fvg_retest,london,bearish,low,1.36,22.0,1.92,86,0,0,1,0,dark_cloud_cover,bearish,78,usd_bullish,booming_bulls_notes,2026-01-01 14:34:00,2026-01-01 15:19:00,153.75,153.534,153.956,154.163,153.584,loss,-0.77,"Synthetic ML row: fvg_retest | dark_cloud_cover | london | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00022,synthetic_starter,XAUUSD,1h,BUY,breakout,new_york,bullish,medium,2.63,33.42,1.43,82,1,1,1,1,evening_star,bearish,38,neutral,booming_bulls_notes,2026-01-01 14:49:00,2026-01-01 15:19:00,2391.77,2388.25,2394.28,2396.8,2388.39,loss,-0.96,"Synthetic ML row: breakout | evening_star | new_york | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00023,synthetic_starter,XAUUSD,1h,SELL,liquidity_sweep,new_york,sideways,low,2.88,12.13,1.36,78,1,1,0,1,three_white_soldiers,bullish,38,neutral,blue_journal,2026-01-01 15:03:00,2026-01-01 16:33:00,2324.94,2325.91,2324.29,2323.63,2323.43,win,1.57,"Synthetic ML row: liquidity_sweep | three_white_soldiers | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00024,synthetic_starter,XAUUSD,1h,SELL,range_rejection,london,sideways,low,2.52,31.77,3.04,62,1,0,0,1,outside_bar,neutral,88,neutral,none,2026-01-01 15:13:00,2026-01-01 19:13:00,2357.78,2360.3,2353.95,2350.13,2356.65,win,0.45,"Synthetic ML row: range_rejection | outside_bar | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00025,synthetic_starter,USDJPY,1h,SELL,trend_follow,new_york,bullish,low,1.09,13.26,1.78,59,1,0,1,0,inside_bar,neutral,85,usd_bullish,backtest,2026-01-01 15:38:00,2026-01-01 19:38:00,154.105,154.247,153.979,153.852,154.223,loss,-0.83,"Synthetic ML row: trend_follow | inside_bar | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00026,synthetic_starter,BTCUSD,5m,SELL,order_block_retest,overlap,bearish,low,76.2,819.76,3.21,51,0,0,0,1,bullish_engulfing,bullish,60,usd_bullish,candlestick,2026-01-01 16:00:00,2026-01-01 16:15:00,64034.67,65091.65,62338.21,60641.76,65324.18,loss,-1.22,"Synthetic ML row: order_block_retest | bullish_engulfing | overlap | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00027,synthetic_starter,XAUUSD,1h,BUY,reversal,london,sideways,medium,3.87,14.09,2.47,73,1,0,1,1,morning_star,bullish,35,usd_bearish,booming_bulls_notes,2026-01-01 16:08:00,2026-01-01 16:38:00,2413.11,2411.95,2414.54,2415.98,2413.71,win,0.52,"Synthetic ML row: reversal | morning_star | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00028,synthetic_starter,EURUSD,5m,SELL,liquidity_sweep,asia,bullish,low,1.41,10.9,3.0,61,0,1,0,1,three_white_soldiers,bullish,85,neutral,blue_journal,2026-01-01 16:17:00,2026-01-01 17:17:00,1.09461,1.09606,1.09244,1.09027,1.09578,loss,-0.81,"Synthetic ML row: liquidity_sweep | three_white_soldiers | asia | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00029,synthetic_starter,EURUSD,5m,BUY,order_block_retest,asia,sideways,low,1.15,11.42,1.06,47,1,1,1,1,three_black_crows,bearish,84,usd_bearish,price_action,2026-01-01 16:33:00,2026-01-01 16:48:00,1.11752,1.11622,1.11821,1.1189,1.12086,win,2.57,"Synthetic ML row: order_block_retest | three_black_crows | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00030,synthetic_starter,GBPUSD,15m,BUY,reversal,london,high_volatility,medium,0.86,9.73,2.12,76,1,0,0,0,marubozu_bearish,bearish,87,usd_bearish,mt5_history,2026-01-01 16:44:00,2026-01-01 17:14:00,1.26081,1.25998,1.2617,1.26258,1.26333,win,3.01,"Synthetic ML row: reversal | marubozu_bearish | london | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00031,synthetic_starter,USDJPY,1h,BUY,support_resistance,london,bearish,low,1.58,7.94,3.91,83,0,0,1,0,hanging_man,bearish,31,usd_bullish,blue_journal,2026-01-01 17:14:00,2026-01-01 17:44:00,155.839,155.784,155.946,156.054,155.899,win,1.1,"Synthetic ML row: support_resistance | hanging_man | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00032,synthetic_starter,EURUSD,30m,SELL,support_resistance,new_york,high_volatility,low,0.68,5.91,3.27,71,0,0,1,1,pin_bar_bullish,bullish,95,usd_bearish,blue_journal,2026-01-01 17:09:00,2026-01-01 21:09:00,1.10878,1.10934,1.10785,1.10693,1.10907,loss,-0.52,"Synthetic ML row: support_resistance | pin_bar_bullish | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00033,synthetic_starter,USDJPY,30m,SELL,fvg_retest,new_york,bearish,low,1.64,17.28,3.4,69,0,1,1,0,doji,neutral,74,neutral,smc_ict,2026-01-01 17:33:00,2026-01-01 19:33:00,159.665,159.889,159.283,158.901,159.44,win,1.0,"Synthetic ML row: fvg_retest | doji | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00034,synthetic_starter,USDJPY,1h,BUY,reversal,asia,high_volatility,low,1.79,19.75,2.02,65,0,1,1,1,hammer,bullish,58,neutral,blue_journal,2026-01-01 17:37:00,2026-01-01 19:07:00,160.862,160.625,161.101,161.34,160.746,loss,-0.49,"Synthetic ML row: reversal | hammer | asia | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00035,synthetic_starter,USDJPY,5m,BUY,liquidity_sweep,london,high_volatility,medium,1.18,16.91,1.38,56,1,1,0,0,outside_bar,neutral,62,usd_bullish,none,2026-01-01 18:05:00,2026-01-01 19:35:00,155.821,155.629,155.953,156.086,155.662,loss,-0.83,"Synthetic ML row: liquidity_sweep | outside_bar | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00036,synthetic_starter,USDJPY,15m,SELL,order_block_retest,asia,low_volatility,high,1.79,7.71,2.02,67,1,0,1,1,hanging_man,bearish,57,neutral,mt5_history,2026-01-01 18:21:00,2026-01-01 21:21:00,154.086,154.168,154.004,153.922,154.038,win,0.6,"Synthetic ML row: order_block_retest | hanging_man | asia | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00037,synthetic_starter,XAUUSD,30m,SELL,trend_follow,new_york,sideways,low,3.38,32.39,2.87,64,1,1,1,1,hanging_man,bearish,57,usd_bearish,smc_ict,2026-01-01 18:20:00,2026-01-01 19:20:00,2298.13,2301.48,2293.34,2288.55,2293.96,win,1.25,"Synthetic ML row: trend_follow | hanging_man | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00038,synthetic_starter,GBPUSD,15m,SELL,order_block_retest,london,bearish,medium,1.83,10.84,2.96,88,1,0,0,1,none,neutral,0,usd_bearish,backtest,2026-01-01 18:42:00,2026-01-01 18:57:00,1.25698,1.25774,1.25586,1.25474,1.25777,loss,-1.04,"Synthetic ML row: order_block_retest | none | london | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00039,synthetic_starter,GBPUSD,1h,SELL,trend_follow,overlap,bullish,high,2.06,12.14,2.11,53,1,0,0,1,tweezer_bottom,bullish,66,usd_bullish,none,2026-01-01 18:59:00,2026-01-01 20:59:00,1.28804,1.28949,1.28651,1.28498,1.28524,win,1.93,"Synthetic ML row: trend_follow | tweezer_bottom | overlap | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00040,synthetic_starter,BTCUSD,15m,SELL,range_rejection,overlap,high_volatility,medium,78.7,535.7,3.69,86,0,0,0,0,pin_bar_bearish,bearish,72,usd_bearish,none,2026-01-01 19:26:00,2026-01-01 23:26:00,63407.53,63819.85,62646.8,61886.07,63164.26,win,0.59,"Synthetic ML row: range_rejection | pin_bar_bearish | overlap | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00041,synthetic_starter,BTCUSD,5m,BUY,trend_follow,new_york,bullish,low,52.53,441.14,3.95,53,1,0,1,1,hammer,bullish,52,neutral,smc_ict,2026-01-01 19:40:00,2026-01-01 20:40:00,65346.53,65076.27,65880.28,66414.03,65319.5,breakeven,-0.1,"Synthetic ML row: trend_follow | hammer | new_york | low news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00042,synthetic_starter,GBPUSD,15m,BUY,support_resistance,new_york,sideways,low,1.79,22.45,2.91,64,1,0,0,1,three_black_crows,bearish,90,usd_bearish,backtest,2026-01-01 19:57:00,2026-01-01 22:57:00,1.26936,1.26782,1.2716,1.27384,1.26951,breakeven,0.1,"Synthetic ML row: support_resistance | three_black_crows | new_york | low news | breakeven. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00043,synthetic_starter,USDJPY,5m,BUY,fvg_retest,london,bullish,low,0.76,16.48,3.61,80,1,0,1,1,dark_cloud_cover,bearish,83,neutral,booming_bulls_notes,2026-01-01 19:58:00,2026-01-01 20:28:00,154.443,154.303,154.696,154.949,154.862,win,2.99,"Synthetic ML row: fvg_retest | dark_cloud_cover | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00044,synthetic_starter,GBPUSD,15m,SELL,breakout,new_york,bullish,low,2.13,16.55,2.94,71,1,0,0,0,hammer,bullish,37,usd_bearish,mt5_history,2026-01-01 20:23:00,2026-01-01 20:38:00,1.31083,1.31262,1.3082,1.30558,1.31291,loss,-1.16,"Synthetic ML row: breakout | hammer | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00045,synthetic_starter,GBPUSD,15m,BUY,fvg_retest,asia,high_volatility,low,1.97,23.57,3.42,84,1,1,1,1,marubozu_bullish,bullish,39,neutral,backtest,2026-01-01 20:23:00,2026-01-01 21:53:00,1.30725,1.30517,1.3108,1.31435,1.30507,loss,-1.05,"Synthetic ML row: fvg_retest | marubozu_bullish | asia | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00046,synthetic_starter,EURUSD,1h,BUY,breakout,asia,low_volatility,medium,0.92,17.24,2.71,48,1,0,0,0,none,neutral,0,usd_bullish,smc_ict,2026-01-01 20:44:00,2026-01-01 23:44:00,1.08407,1.08242,1.08629,1.08852,1.08805,win,2.42,"Synthetic ML row: breakout | none | asia | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00047,synthetic_starter,GBPUSD,5m,BUY,support_resistance,london,sideways,low,2.12,20.04,3.25,63,0,1,0,0,tweezer_top,bearish,30,usd_bearish,booming_bulls_notes,2026-01-01 21:01:00,2026-01-01 23:01:00,1.24226,1.23968,1.24646,1.25066,1.24754,win,2.04,"Synthetic ML row: support_resistance | tweezer_top | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00048,synthetic_starter,XAUUSD,5m,SELL,range_rejection,london,bearish,low,4.34,20.42,3.01,68,0,0,1,0,marubozu_bearish,bearish,78,usd_bullish,mt5_history,2026-01-01 21:16:00,2026-01-01 21:46:00,2335.3,2337.04,2332.7,2330.09,2332.67,win,1.52,"Synthetic ML row: range_rejection | marubozu_bearish | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00049,synthetic_starter,GBPUSD,30m,BUY,trend_follow,new_york,sideways,low,1.84,18.14,1.37,94,0,0,0,1,piercing_line,bullish,43,neutral,backtest,2026-01-01 21:35:00,2026-01-01 23:35:00,1.2483,1.24711,1.24911,1.24993,1.24716,loss,-0.96,"Synthetic ML row: trend_follow | piercing_line | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00050,synthetic_starter,USDJPY,30m,SELL,support_resistance,new_york,bullish,low,0.73,15.51,2.03,82,1,0,1,1,three_black_crows,bearish,32,neutral,none,2026-01-01 21:55:00,2026-01-01 22:55:00,154.527,154.679,154.373,154.219,154.453,win,0.49,"Synthetic ML row: support_resistance | three_black_crows | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00051,synthetic_starter,EURUSD,1h,BUY,breakout,asia,bearish,high,0.71,9.85,1.71,71,0,0,0,0,tweezer_top,bearish,30,usd_bearish,candlestick,2026-01-01 22:06:00,2026-01-02 01:06:00,1.07095,1.06979,1.07194,1.07293,1.06974,loss,-1.04,"Synthetic ML row: breakout | tweezer_top | asia | high news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00052,synthetic_starter,BTCUSD,30m,BUY,order_block_retest,asia,high_volatility,medium,37.61,981.25,3.4,87,1,1,0,1,hanging_man,bearish,41,neutral,mt5_history,2026-01-01 22:13:00,2026-01-02 00:13:00,63121.1,62289.89,64534.16,65947.21,62713.81,loss,-0.49,"Synthetic ML row: order_block_retest | hanging_man | asia | medium news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00053,synthetic_starter,EURUSD,1h,SELL,order_block_retest,london,bullish,high,0.7,7.35,3.02,84,1,1,1,1,shooting_star,bearish,68,usd_bullish,none,2026-01-01 22:39:00,2026-01-02 02:39:00,1.06768,1.06827,1.06681,1.06593,1.0668,win,1.52,"Synthetic ML row: order_block_retest | shooting_star | london | high news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00054,synthetic_starter,USDJPY,30m,BUY,order_block_retest,new_york,bearish,medium,0.95,16.26,3.6,80,1,1,0,1,dark_cloud_cover,bearish,45,usd_bullish,mt5_history,2026-01-01 22:54:00,2026-01-01 23:39:00,154.071,153.855,154.458,154.846,154.17,win,0.46,"Synthetic ML row: order_block_retest | dark_cloud_cover | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00055,synthetic_starter,EURUSD,5m,SELL,fvg_retest,overlap,bearish,low,0.61,7.92,1.82,51,1,0,1,0,bullish_engulfing,bullish,31,neutral,mt5_history,2026-01-01 23:11:00,2026-01-01 23:56:00,1.10185,1.10262,1.10115,1.10044,1.09954,win,2.99,"Synthetic ML row: fvg_retest | bullish_engulfing | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00056,synthetic_starter,BTCUSD,5m,BUY,range_rejection,asia,bullish,low,43.08,266.4,3.7,83,0,0,0,1,shooting_star,bearish,55,neutral,booming_bulls_notes,2026-01-01 23:09:00,2026-01-02 02:09:00,63056.1,62821.07,63490.91,63925.72,63300.53,win,1.04,"Synthetic ML row: range_rejection | shooting_star | asia | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00057,synthetic_starter,BTCUSD,15m,SELL,breakout,new_york,low_volatility,low,62.82,524.95,1.02,60,1,0,0,0,tweezer_top,bearish,74,neutral,none,2026-01-01 23:32:00,2026-01-02 01:32:00,66222.68,66611.19,66024.55,65826.41,65869.15,win,0.91,"Synthetic ML row: breakout | tweezer_top | new_york | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00058,synthetic_starter,USDJPY,15m,SELL,support_resistance,new_york,sideways,low,1.32,21.83,2.54,61,0,0,0,1,bearish_engulfing,bearish,50,usd_bullish,booming_bulls_notes,2026-01-01 23:31:00,2026-01-02 01:31:00,154.075,154.345,153.731,153.387,154.334,loss,-0.96,"Synthetic ML row: support_resistance | bearish_engulfing | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00059,synthetic_starter,USDJPY,1h,SELL,support_resistance,overlap,low_volatility,low,0.71,15.64,3.43,79,1,0,1,1,harami_bearish,bearish,72,usd_bearish,blue_journal,2026-01-01 23:50:00,2026-01-02 03:50:00,154.809,154.908,154.639,154.469,154.606,win,2.04,"Synthetic ML row: support_resistance | harami_bearish | overlap | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00060,synthetic_starter,GBPUSD,30m,SELL,range_rejection,new_york,bullish,medium,0.8,20.23,1.97,69,0,1,1,0,piercing_line,bullish,28,neutral,candlestick,2026-01-02 00:11:00,2026-01-02 04:11:00,1.29513,1.29727,1.29302,1.2909,1.29172,win,1.59,"Synthetic ML row: range_rejection | piercing_line | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00061,synthetic_starter,BTCUSD,1h,SELL,liquidity_sweep,london,low_volatility,low,29.8,423.3,2.23,84,1,1,0,0,none,neutral,0,usd_bearish,candlestick,2026-01-02 00:43:00,2026-01-02 04:43:00,66939.32,67467.78,66350.1,65760.87,66680.38,win,0.49,"Synthetic ML row: liquidity_sweep | none | london | low news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00062,synthetic_starter,GBPUSD,5m,SELL,reversal,new_york,bearish,low,1.89,7.45,2.57,68,1,0,0,0,harami_bearish,bearish,71,usd_bearish,candlestick,2026-01-02 00:42:00,2026-01-02 04:42:00,1.27697,1.27787,1.2758,1.27464,1.27745,loss,-0.54,"Synthetic ML row: reversal | harami_bearish | new_york | low news | loss. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00063,synthetic_starter,BTCUSD,15m,BUY,fvg_retest,overlap,bearish,medium,20.44,310.67,1.33,65,1,1,1,0,morning_star,bullish,41,neutral,candlestick,2026-01-02 01:05:00,2026-01-02 02:35:00,63538.16,63276.5,63712.17,63886.18,63655.91,win,0.45,"Synthetic ML row: fvg_retest | morning_star | overlap | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00064,synthetic_starter,BTCUSD,15m,BUY,fvg_retest,new_york,bullish,medium,30.0,371.35,2.63,84,0,1,1,1,marubozu_bearish,bearish,28,neutral,none,2026-01-02 01:30:00,2026-01-02 03:00:00,64933.48,64471.62,65540.84,66148.19,65838.74,win,1.96,"Synthetic ML row: fvg_retest | marubozu_bearish | new_york | medium news | win. Use for testing pipeline, not as real edge."
SYNTHETIC_STARTER_00065,synthetic_starter,USDJPY,1h,SELL,support_resistance,asia,bearish,low,1.81,21.61,1.22,68,1,0,1,1,three_black_crows,bearish,68,neutral,smc_ict,2026-01-02 01:16:00,2026-01-02 02:46:00,160.374,160.653,160.204,160.034,160.115,win,0.93,"Synthetic ML row: support_resistance | three_black_crows | asia | low news | win. Use for testing pipeline, not as real edge."
